guess,ev,max guesses,pass,time
going,3.79395,5,0,323.26746
grabs,3.66263,5,0,19.60558
grace,3.57624,5,0,14.84653
grade,3.59611,5,0,18.24646
graft,3.61166,5,0,27.56545
grams,3.64838,5,0,22.99869
grand,3.58790,5,0,36.61974
graze,3.72700,5,0,36.34466
grill,3.71231,5,0,261.32129
guard,3.64881,5,0,43.16593
guild,3.66739,5,0,251.42215
gusty,3.70929,5,0,183.72181
haiku,3.76501,5,0,150.26846
harem,3.62419,5,0,18.72393
harry,3.75378,5,0,58.35624
hated,3.61901,5,0,12.04372
hates,3.62721,5,0,8.54378
haunt,3.61555,5,0,92.52718
hears,3.59784,5,0,18.35771
heave,3.78661,5,0,59.80499
hello,3.74168,5,0,259.03785
hippy,3.85443,5,0,351.96053
homes,3.65875,5,0,30.29991
honey,3.65400,5,0,64.54674
hoops,3.76717,5,0,195.90396
hotly,3.66177,5,0,143.14282
howdy,3.76199,5,0,170.07507
hunky,3.78747,5,0,396.69188
hyped,3.71404,5,0,30.82477
icily,3.81037,5,0,413.51737
impel,3.66004,5,0,37.02343
inbox,3.82333,5,0,326.99461
islet,3.59827,5,0,14.49923
issue,3.82246,5,0,214.75779
jibed,3.78186,5,0,54.60404
jimmy,3.99784,5,0,720.68040
junto,3.78488,5,0,268.95138
keyed,3.80734,5,0,142.21725
kinds,3.71879,5,0,141.45832
kinky,3.89374,5,0,484.42167
laced,3.59957,5,0,17.72134
laces,3.58143,5,0,12.23526
ladle,3.68898,5,0,50.38185
lance,3.52225,5,0,13.19978
lapel,3.69762,5,0,27.79343
lasso,3.73477,5,0,85.28361
layup,3.66091,5,0,158.24708
lemur,3.63499,5,0,31.18567
leper,3.65486,5,0,39.42165
liege,3.67991,5,0,154.31335
limit,3.73952,5,0,253.37467
local,3.72397,5,0,101.80278
logic,3.66048,5,0,92.23719
loner,3.57235,5,0,17.12167
loony,3.72225,5,0,378.71756
lulls,3.96328,5,1,1627.01494
miner,3.58099,5,0,38.02382
minim,3.94471,5,0,579.75439
